run_id,timestamp,instance_id,subproblem,provider,strategy,k,temperature,raw_response,parsed_answer,error_type,feasible,optimality_gap,model_objective,gt_objective,feasibility_message,attempt_number,n_tool_calls,tool_calls,final_answer_used_tools,latency_ms,input_tokens,output_tokens,cost_usd,early_error_type
0efd946e-3051-4991-aa7a-628e194e3604,2026-05-22T21:10:01Z,markowitz_000,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [0.12378583993765986, 0.06019905092878627, 0.05283527540318384, 0.09640559627788625, 0.0559558523768555, 0.1538623067732336, 0.11583535652557259, 0.2749644905397555, 0.019218473829760854, 0.0469377574073057]}","[0.12378583993765986, 0.06019905092878627, 0.05283527540318384, 0.09640559627788625, 0.0559558523768555, 0.1538623067732336, 0.11583535652557259, 0.2749644905397555, 0.019218473829760854, 0.0469377574073057]",none,True,0.0,0.0032007388245854,0.0032007388245854,,1,0,[],False,24.98,0,0,0.0,
14bf5307-9014-4c1e-93e6-7a49606464b5,2026-05-22T21:10:01Z,markowitz_003,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [0.02809617900723063, 0.02511142697184935, 0.15785268088048124, 0.06684279845961634, 0.04088740762694497, 0.04055758093825361, 0.050076788937925214, 0.1368329004906613, 0.31520633712379137, 0.1385358995632461]}","[0.02809617900723063, 0.02511142697184935, 0.15785268088048124, 0.06684279845961634, 0.04088740762694497, 0.04055758093825361, 0.050076788937925214, 0.1368329004906613, 0.31520633712379137, 0.1385358995632461]",none,True,0.0,0.0019738998518815,0.0019738998518815,,1,0,[],False,20.45,0,0,0.0,
e3d5a10e-6e48-4508-a2bd-2330bdf50b6f,2026-05-22T21:10:01Z,markowitz_002,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [0.05302502943528581, 0.3890295912767808, 0.06583919867688881, 0.06690597706354416, 0.11126431551855734, 0.11402762167337703, 0.08487490177159392, 0.034449142333727346, 0.05373715029912298, 0.026847071951121928]}","[0.05302502943528581, 0.3890295912767808, 0.06583919867688881, 0.06690597706354416, 0.11126431551855734, 0.11402762167337703, 0.08487490177159392, 0.034449142333727346, 0.05373715029912298, 0.026847071951121928]",none,True,0.0,0.0028962494516751,0.0028962494516751,,1,0,[],False,21.75,0,0,0.0,
2b8168f2-8180-4eae-965d-7860290f1427,2026-05-22T21:10:01Z,markowitz_004,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [0.031906838003415566, 0.09987404297449566, 0.032710489266274026, 0.07839237031077771, 0.13979689379262922, 0.06950204887825195, 0.1661717621714555, 0.09305689485650133, 0.13018688141569007, 0.1584017783305089]}","[0.031906838003415566, 0.09987404297449566, 0.032710489266274026, 0.07839237031077771, 0.13979689379262922, 0.06950204887825195, 0.1661717621714555, 0.09305689485650133, 0.13018688141569007, 0.1584017783305089]",none,True,0.0,0.0021045753919935,0.0021045753919935,,1,0,[],False,8.49,0,0,0.0,
cc5070a5-e9e0-4c8d-9677-8cb9c5102517,2026-05-22T21:10:01Z,markowitz_001,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [0.08735424873704331, 0.2523801458062209, 0.17986571116853717, 0.1721016452093167, 0.029835277539705836, 0.030829899640172694, 0.05327391781830565, 0.0591115707539254, 0.06293584304261028, 0.07231174028416205]}","[0.08735424873704331, 0.2523801458062209, 0.17986571116853717, 0.1721016452093167, 0.029835277539705836, 0.030829899640172694, 0.05327391781830565, 0.0591115707539254, 0.06293584304261028, 0.07231174028416205]",none,True,0.0,0.0028474744784739,0.0028474744784739,,1,0,[],False,28.16,0,0,0.0,
46a74aba-a313-4994-92bb-b5032ef4c9fc,2026-05-22T21:10:01Z,markowitz_006,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [0.0719497350734342, 2.4230812311717452e-08, 1.4422074830706077e-06, 0.18399075262913098, 0.024642429642651828, 4.8473701794945326e-08, 0.1342758340859251, 0.1334523971286729, 0.1761443908974659, 0.27554294563072196]}","[0.0719497350734342, 2.4230812311717452e-08, 1.4422074830706077e-06, 0.18399075262913098, 0.024642429642651828, 4.8473701794945326e-08, 0.1342758340859251, 0.1334523971286729, 0.1761443908974659, 0.27554294563072196]",none,True,0.0,0.0069997562877455,0.0069997562877455,,1,0,[],False,8.37,0,0,0.0,
fe0fa9a9-3c11-415b-9387-9b5b313b988d,2026-05-22T21:10:01Z,markowitz_005,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [0.09439661488132085, 0.08440505282702288, 0.07742142268221339, 0.08830609050238378, 0.09287292943211098, 0.06384424711111021, 0.18488752332205707, 0.06440083262879504, 0.18570055085975953, 0.06376473575322626]}","[0.09439661488132085, 0.08440505282702288, 0.07742142268221339, 0.08830609050238378, 0.09287292943211098, 0.06384424711111021, 0.18488752332205707, 0.06440083262879504, 0.18570055085975953, 0.06376473575322626]",none,True,0.0,0.0031270957643597,0.0031270957643597,,1,0,[],False,5.86,0,0,0.0,
11d24537-d01c-41e3-873b-d6af44169c8f,2026-05-22T21:10:01Z,markowitz_007,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [0.10185782894359968, 0.08025875197068416, 0.042871370872476604, 0.005575403776598121, 0.058080110919641305, 0.1950833052781152, 0.29871304782652147, 0.1176215363630357, 0.06073912098821305, 0.03919952306111472]}","[0.10185782894359968, 0.08025875197068416, 0.042871370872476604, 0.005575403776598121, 0.058080110919641305, 0.1950833052781152, 0.29871304782652147, 0.1176215363630357, 0.06073912098821305, 0.03919952306111472]",none,True,0.0,0.0037046048288636,0.0037046048288636,,1,0,[],False,10.83,0,0,0.0,
c1e2b774-3982-42d8-9f86-fc982637c424,2026-05-22T21:10:01Z,markowitz_011,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [3.50844736966017e-08, 0.05615440297635919, 0.11047757248247474, 0.24401482659105336, 0.18022238879095345, 1.4133833016613985e-08, 2.454569549548488e-08, 0.409071285531905, 5.943938537750571e-05, 1.047787444439851e-08]}","[3.50844736966017e-08, 0.05615440297635919, 0.11047757248247474, 0.24401482659105336, 0.18022238879095345, 1.4133833016613985e-08, 2.454569549548488e-08, 0.409071285531905, 5.943938537750571e-05, 1.047787444439851e-08]",none,True,0.0,0.005890645395807,0.005890645395807,,1,0,[],False,2.84,0,0,0.0,
646cfbbc-1379-41d8-abc4-2bba45b8231a,2026-05-22T21:10:01Z,markowitz_009,markowitz,deterministic_opt,reference,0,0.0,"{""weights"": [0.046159411570845986, 0.03591907878115817, 0.08899020803170593, 0.06212071691164258, 0.10317471374938159, 0.03284010815360311, 0.16513686248722473, 0.06454122587400327, 0.13566238545049325, 0.26545528898994136]}","[0.046159411570845986, 0.03591907878115817, 0.08899020803170593, 0.06212071691164258, 0.10317471374938159, 0.03284010815360311, 0.16513686248722473, 0.06454122587400327, 0.13566238545049325, 0.26545528898994136]",none,True,0.0,0.0029947891730707,0.0029947891730707,,1,0,[],False,11.0,0,0,0.0,
